Index,Time(s),Type of jump,Jump Location(s)
1,3:33:55 nachm.,Normal Formation,(21.771, -0.138, 26.022)
2,3:33:56 nachm.,Normal Formation,(28.330, -0.138, 29.555)
3,3:33:57 nachm.,Normal Formation,(34.547, -0.138, 33.060)
4,3:33:57 nachm.,Normal Formation,(40.533, -0.138, 36.711)
5,3:33:58 nachm.,Normal Formation,(46.399, -0.138, 40.331)
6,3:33:58 nachm.,Normal Formation,(52.447, -0.138, 43.863)
7,3:33:58 nachm.,Normal Formation,(58.549, -0.138, 47.274)
8,3:33:59 nachm.,Normal Formation,(63.913, -0.138, 50.419)
9,3:34:00 nachm.,Normal Formation,(68.316, -0.138, 53.165)
10,3:35:08 nachm.,Normal Formation,(71.879, -0.138, 55.646)
11,3:35:09 nachm.,Normal Formation,(65.714, -0.138, 50.493)
12,3:35:09 nachm.,Normal Formation,(59.007, -0.138, 46.055)
13,3:35:09 nachm.,Normal Formation,(51.919, -0.138, 42.252)
14,3:35:10 nachm.,Normal Formation,(44.811, -0.138, 38.639)
15,3:35:10 nachm.,Normal Formation,(37.907, -0.138, 34.891)
16,3:35:10 nachm.,Normal Formation,(31.376, -0.138, 30.918)
17,3:35:11 nachm.,Normal Formation,(25.168, -0.138, 26.771)
Index, BTC Jumps
1,(6.840, -0.138, 26.635)
2,(12.494, -0.138, 28.767)
3,(17.783, -0.138, 30.036)
4,(22.894, -0.138, 30.656)
5,(25.152, -0.138, 23.009)
6,(148.696, -0.138, -11.340)
7,(147.476, -0.138, -7.467)
8,(148.334, -0.138, -8.316)
9,(146.174, -0.138, -2.118)
10,(144.521, -0.138, 4.855)
11,(142.697, -0.138, 11.673)
12,(141.066, -0.138, 18.835)
13,(138.095, -0.138, 25.471)
14,(134.915, -0.138, 32.252)
15,(131.479, -0.138, 39.181)
16,(127.768, -0.138, 44.933)
17,(121.433, -0.138, 45.794)
18,(113.943, -0.138, 47.481)
19,(107.142, -0.138, 47.045)
20,(99.797, -0.138, 47.289)
21,(92.232, -0.138, 47.288)
22,(84.661, -0.138, 47.278)
23,(77.054, -0.138, 47.475)
24,(69.608, -0.138, 47.591)
25,(62.132, -0.138, 47.447)
26,(54.419, -0.138, 47.484)
27,(46.881, -0.138, 47.849)
28,(40.260, -0.138, 45.455)
29,(33.473, -0.138, 43.022)
30,(30.183, -0.138, 37.278)
31,(27.581, -0.138, 30.695)
32,(24.943, -0.138, 26.361)
33,(24.965, -0.138, 26.364)
34,(27.389, -0.138, 21.794)
35,(29.702, -0.138, 16.905)
36,(32.258, -0.138, 11.982)
37,(35.580, -0.138, 7.318)
38,(40.154, -0.138, 3.905)
39,(45.249, -0.138, 1.785)
40,(50.329, -0.138, -0.032)
41,(55.408, -0.138, -1.977)
42,(60.221, -0.138, -4.139)
43,(64.366, -0.138, -7.517)
44,(66.503, -0.138, -12.476)
45,(66.665, -0.138, -18.177)
46,(66.113, -0.138, -23.828)
47,(65.761, -0.138, -29.575)
48,(65.851, -0.138, -35.440)
49,(66.698, -0.138, -41.196)
50,(68.783, -0.138, -46.627)
51,(72.703, -0.138, -50.793)
52,(77.833, -0.138, -52.729)
53,(83.065, -0.138, -52.648)
54,(87.929, -0.138, -51.574)
Cicle formation, SemiCircle Formation, Presenter Formations, As-is Formation, Total Jumps
0,0,0,17,17
