Index,Time(s),Type of jump,Jump Location(s)
1,10:32:07 AM,Normal Formation,(10.837, -0.138, 22.815)
2,10:32:08 AM,Normal Formation,(7.054, -0.138, 25.418)
3,10:32:10 AM,Normal Formation,(14.759, -0.138, 28.139)
4,10:32:11 AM,Normal Formation,(22.305, -0.138, 31.457)
5,10:32:12 AM,Normal Formation,(29.642, -0.138, 34.354)
6,10:32:12 AM,Normal Formation,(37.454, -0.138, 37.245)
7,10:32:13 AM,Normal Formation,(45.233, -0.138, 40.222)
8,10:32:14 AM,Normal Formation,(52.507, -0.138, 43.687)
9,10:32:15 AM,Normal Formation,(59.805, -0.138, 47.406)
10,10:32:20 AM,SemiCircle Formation,(66.915, -0.138, 51.782)
11,10:33:14 AM,Normal Formation,(71.009, -0.138, 56.151)
12,10:33:19 AM,Normal Formation,(65.587, -0.138, 51.781)
13,10:33:20 AM,Normal Formation,(58.211, -0.138, 48.293)
14,10:33:20 AM,Normal Formation,(50.730, -0.138, 44.564)
15,10:33:21 AM,Normal Formation,(43.312, -0.138, 40.903)
16,10:33:22 AM,Normal Formation,(36.124, -0.138, 36.984)
17,10:33:22 AM,Normal Formation,(29.417, -0.138, 32.186)
18,10:33:23 AM,Normal Formation,(22.458, -0.138, 27.613)
19,10:33:25 AM,Normal Formation,(14.599, -0.138, 24.383)
Index, BTC Jumps
1,(7.209, -0.138, 28.814)
2,(12.487, -0.138, 29.412)
3,(18.055, -0.138, 29.445)
4,(23.502, -0.138, 29.674)
5,(28.568, -0.138, 30.662)
6,(28.614, -0.138, 30.696)
7,(149.888, -0.138, -5.592)
8,(149.033, -0.138, 0.181)
9,(147.069, -0.138, 5.725)
10,(144.449, -0.138, 11.431)
11,(141.461, -0.138, 17.265)
12,(138.194, -0.138, 22.576)
13,(133.512, -0.138, 26.723)
14,(127.453, -0.138, 27.740)
15,(121.088, -0.138, 28.293)
16,(114.513, -0.138, 28.583)
17,(107.488, -0.138, 29.405)
18,(100.381, -0.138, 30.241)
19,(93.330, -0.138, 30.758)
20,(86.162, -0.138, 31.124)
21,(79.153, -0.138, 32.102)
22,(72.012, -0.138, 33.605)
23,(64.758, -0.138, 34.955)
24,(57.568, -0.138, 36.779)
25,(50.343, -0.138, 38.741)
26,(43.056, -0.138, 40.001)
27,(36.098, -0.138, 38.008)
28,(29.933, -0.138, 34.210)
29,(24.960, -0.138, 28.698)
30,(19.409, -0.138, 24.451)
31,(12.966, -0.138, 22.794)
32,(13.145, -0.138, 22.256)
33,(13.155, -0.138, 27.957)
34,(18.822, -0.138, 27.996)
35,(24.536, -0.138, 26.089)
36,(28.695, -0.138, 21.774)
37,(30.567, -0.138, 16.273)
38,(31.923, -0.138, 10.425)
39,(36.579, -0.138, 6.407)
40,(42.345, -0.138, 4.346)
41,(48.426, -0.138, 2.800)
42,(54.514, -0.138, 1.326)
43,(59.944, -0.138, -0.660)
44,(63.164, -0.138, -4.969)
45,(64.111, -0.138, -10.810)
46,(63.692, -0.138, -17.136)
47,(63.589, -0.138, -23.650)
48,(64.254, -0.138, -30.198)
49,(65.164, -0.138, -36.536)
50,(66.370, -0.138, -42.889)
51,(70.239, -0.138, -47.774)
52,(75.622, -0.138, -50.316)
53,(81.385, -0.138, -49.923)
54,(85.935, -0.138, -48.845)
Cicle formation, SemiCircle Formation, Presenter Formations, As-is Formation, Total Jumps
0,1,0,18,19
